         >An anonymous input sequence

            No        Start        Stop         Strand      Length     Z_Index

            1          131          829            -          699      0.59087
            2          847         1494            -          648      0.55684
            3         1706         1960            +          255      0.11308
            4         2094         2918            +          825      0.08740
            5         4342         5055            -          714      0.59582
            6         5246         6088            +          843      0.70050
            7         6092         6217            -          126      0.25521
            8         6181         6552            +          372      0.37374
            9         6593         6790            -          198      0.36930
           10         7026         7982            -          957      0.60422
           11         7982         9121            -         1140      0.67350
           12         9114        10658            -         1545      0.75694
           13        10746        11831            -         1086      0.59499
           14        12113        13255            -         1143      0.55681
           15        13396        13992            -          597      0.63873
           16        14087        15127            -         1041      0.55680
           17        15360        16220            +          861      0.04588
           18        16748        17092            +          345      0.42873
           19        17135        17698            +          564      0.42365
           20        17618        18712            -         1095      0.85516
           21        19309        20154            -          846      0.32743
           22        20128        20793            +          666      0.56148
           23        20777        22048            -         1272      0.64478
           24        22210        24024            -         1815      0.73229
           25        24157        24654            -          498      0.73787
           26        26118        27326            +         1209      0.59891
           27        27363        27683            +          321      0.39979
           28        27852        28010            +          159      0.07514
           29        28020        29528            +         1509      0.68824
           30        29525        30757            +         1233      0.59201
           31        30839        31081            +          243      0.44194
           32        31071        32357            +         1287      0.77461
           33        32599        32856            +          258      0.15072
           34        32918        33307            +          390      0.63159
           35        33443        35440            +         1998      0.84034
           36        35444        36070            +          627      0.59828
           37        42303        42626            +          324      0.14485
           38        42623        42835            +          213      0.10912
           39        42942        43994            +         1053      0.71118
           40        44070        44534            +          465      0.57835
           41        44922        45758            -          837      0.55639
           42        45944        46135            +          192      0.12572
           43        51957        53267            +         1311      0.42077
           44        53251        54138            +          888      0.59206
           45        54203        55009            +          807      0.69934
           46        55014        55763            +          750      0.61500
           47        55917        56828            +          912      0.55668
           48        58648        59241            +          594      0.11972
           49        59626        60549            +          924      0.12911
           50        60714        61256            +          543      0.04442
           51        61401        62357            +          957      0.10716
           52        62357        63634            +         1278      0.18869
           53        63634        64719            +         1086      0.18740
           54        64712        67900            +         3189      0.02507
           55        69647        69940            -          294      0.27622
           56        69764        70021            +          258      0.36245
           57        70305        70982            -          678      0.60803
           58        71397        73487            -         2091      0.88969
           59        74041        74730            -          690      0.79488
           60        74907        75560            +          654      0.42700
           61        75647        76252            +          606      0.53663
           62        76286        77044            +          759      0.60119
           63        79551        81131            +         1581      0.01546
           64        81213        82025            +          813      0.54285
           65        82025        82525            +          501      0.26833
           66        82686        82754            +           69      0.09044
           67        82813        83727            -          915      0.55644
           68        83964        84140            +          177      0.09422
           69        84137        84298            +          162      0.14857
           70        84683        84994            +          312      0.01442
           71        84816        85142            -          327      0.09542
           72        85438        86841            +         1404      0.74071
           73        86866        88284            +         1419      0.61451
           74        88462        88536            -           75      0.16071
           75        88660        89994            -         1335      0.60282
           76        90272        91219            -          948      0.73110
           77        91390        92184            -          795      0.55642
           78        92576        95107            +         2532      0.80299
           79        97209        99059            -         1851      0.04017
           80       100530       101672            +         1143      0.00864
           81       101739       102065            -          327      0.20507
           82       102084       102236            +          153      0.27275
           83       102307       103497            -         1191      0.53437
